X,Y,H,E,S2P,phase_angle,HE
71225.234,27219.068,6.6862435,113.35053,2183.0115,6.6323276,0.058987316
71225.234,27219.545,8.712154,156.09047,3044.5923,3.080614,0.055814777
71225.234,27220.068,2.7432804,36.09056,497.74103,1.501322,0.076011024
71225.234,27220.545,7.2023177,79.41578,1028.4004,3.394161,0.09069127
71225.234,27221.068,5.5541997,68.31087,972.9208,-0.17292556,0.0813077
71225.234,27221.545,5.9296875,74.62054,1088.6918,-0.00345767,0.079464555
71225.234,27222.068,1.9104596,28.6336,407.5661,0.077236675,0.0667209
71225.234,27222.545,0.6902219,16.325914,258.42548,75.175575,0.042277686
71225.234,27223.068,0.69879466,18.985376,661.3809,42.558624,0.036806997
71225.234,27223.545,0.8943408,18.358334,262.6132,12.551,0.048715796
71225.234,27224.068,3.091865,47.89767,812.3105,1.5916009,0.06455147
71225.234,27224.545,6.6331053,78.20172,1075.5522,0.8359984,0.08482045
71225.234,27225.07,1.8454343,33.884483,621.256,1.4746147,0.05446252
71225.234,27225.545,1.4348,26.616955,443.90652,1.7655072,0.05390549
71225.234,27226.07,0.8063755,19.563988,390.91772,17.893616,0.04121734
71225.234,27226.545,0.83013654,24.566954,929.98804,10.358181,0.033790782
71225.234,27227.07,9.203077,97.23185,1203.3829,-0.43958566,0.09465085
71224.71,27227.07,7.1433225,53.31876,507.45276,-0.47038722,0.13397391
71224.71,27226.545,7.835517,70.51703,815.74884,-0.5341828,0.11111525
71224.71,27226.07,1.0537891,21.254196,771.4995,0.4378588,0.049580287
71224.71,27225.545,5.707016,53.912846,692.966,0.09466054,0.10585633
71224.71,27225.07,5.3599286,75.14654,1415.1836,0.9747755,0.07132635
71224.71,27224.545,5.0659666,74.0557,1462.3473,1.7086579,0.06840751
71224.71,27224.068,2.3187306,28.261753,565.3221,0.75408375,0.082044825
71224.71,27223.545,1.636306,21.561771,509.13318,0.35946164,0.07588922
71224.71,27223.068,0.14676271,11.748466,1046.3651,3.535331,0.012492076
71224.71,27222.068,9.150684,98.50916,1312.3271,0.50598216,0.09289171
71224.71,27221.068,8.223517,79.62747,982.2526,0.39319268,0.103274874
71224.71,27220.545,4.004607,59.57986,1254.7318,-0.21453096,0.06721411
71224.71,27220.068,5.086396,63.05527,1077.747,0.674391,0.08066568
71224.71,27219.545,3.6199114,50.94404,1044.9858,-0.06256128,0.07105663
71224.71,27219.068,11.19754,99.08364,1054.8894,0.010419181,0.11301099
71224.71,27218.545,8.988649,106.74248,1555.6345,1.0554689,0.08420874
71224.71,27218.068,8.99312,104.95093,1506.6688,1.5701748,0.085688815
71224.71,27217.545,8.658608,74.15789,801.096,-0.16544253,0.1167591
71224.71,27217.068,7.9178343,71.50633,828.63495,-0.23654659,0.110729136
71224.71,27216.545,0.8524422,6.5902104,139.54033,4.8489127,0.12934977
71224.71,27216.068,14.641124,100.06461,779.5033,-0.11006446,0.14631669
71224.71,27215.545,11.383702,143.13417,2059.4573,0.06429961,0.07953169
71224.71,27215.068,10.6746855,147.64491,2329.2659,0.20921792,0.07229972
71224.71,27214.545,4.671878,73.94295,1587.199,0.452726,0.0631822
71224.71,27214.068,8.328107,87.65401,1167.0677,-0.043433826,0.09501114
71224.71,27213.068,4.443028,64.98856,1320.0259,-0.04633205,0.068366304
71224.71,27212.545,7.417167,116.61033,2239.14,0.31504917,0.06360643
71224.234,27212.545,5.1015224,55.55987,784.54926,-0.049961023,0.09182027
71224.234,27213.068,4.1981936,100.15483,3335.3699,1.9136013,0.041917033
71224.234,27213.545,7.0787225,95.28884,1616.1774,0.52774006,0.074287005
71224.234,27214.068,9.329335,123.45819,1972.7301,0.9013233,0.07556676
71224.234,27214.545,11.757783,109.23397,1246.4799,-0.27420247,0.10763852
71224.234,27215.068,5.8806357,63.905758,896.10516,-0.15231302,0.09202044
71224.234,27216.068,7.198767,103.71283,1870.285,8.479648,0.06941058
71224.234,27216.545,1.7377781,19.25074,252.5929,1.768923,0.09027071
71224.234,27217.068,6.1810665,86.65941,1555.8815,5.9553866,0.07132597
71224.234,27217.545,12.826405,106.755394,1101.1316,-0.38555682,0.1201476
71224.234,27218.068,7.5168996,75.51766,968.8871,-0.20821567,0.0995383
71224.234,27218.545,2.933788,33.351994,486.9214,0.21372186,0.0879644
71224.234,27219.068,4.8525395,92.69605,2365.3853,6.0011797,0.052348934
71224.234,27219.545,4.43122,49.10269,706.90283,0.85560334,0.090243936
71224.234,27220.068,3.4843383,32.288815,384.73715,3.4098647,0.10791162
71224.234,27221.068,10.0363245,92.32779,1066.9795,-0.2730635,0.10870318
71224.234,27221.545,3.4820728,45.509293,788.7053,0.017048499,0.07651345
71224.234,27222.068,7.8199687,123.57881,2389.3313,5.691129,0.063279204
71224.234,27222.545,10.376926,146.20522,2410.0522,5.9524226,0.07097508
71224.234,27223.068,6.1737466,67.23147,942.3086,0.88583934,0.09182823
71224.234,27224.068,3.4569106,49.433315,954.6167,0.44018605,0.069930784
71224.234,27224.545,1.498468,21.44992,470.07373,4.46731,0.06985891
71224.234,27225.07,7.578539,128.44722,2661.6187,3.1647553,0.05900119
71224.234,27225.545,2.8445146,25.118195,283.1367,1.1484479,0.11324519
71224.234,27226.07,3.6224904,58.494854,1301.0206,0.69303197,0.06192836
71224.234,27226.545,6.54544,69.79456,955.42737,-0.1341501,0.093781516
71224.234,27227.07,8.019145,79.2123,995.763,-0.28127372,0.101236105
71223.71,27227.07,6.980618,56.70214,692.56525,-0.3625307,0.12311031
71223.71,27226.545,9.916073,75.50908,806.6884,-0.3629279,0.13132292
71223.71,27226.07,6.7487044,74.31637,1119.7191,0.7835813,0.09081047
71223.71,27225.545,3.3719685,60.48343,1398.1497,0.570825,0.055750288
71223.71,27225.07,8.655587,86.70151,1158.1229,-0.24312095,0.09983203
71223.71,27223.068,0.96069455,23.960428,738.7851,0.23755266,0.04009505
71223.71,27222.545,8.559448,84.95667,1130.8367,-0.26579186,0.100750744
71223.71,27222.068,6.785808,89.23719,1507.124,1.9254984,0.07604238
71223.71,27221.545,7.084514,87.99935,1419.0853,0.96572477,0.08050644
71223.71,27221.068,8.836253,75.19265,894.01196,-0.38389426,0.117514856
71223.71,27220.545,6.531567,74.18142,1148.681,0.043197446,0.08804856
71223.71,27220.068,2.8973973,40.447163,833.74994,1.0037483,0.07163413
